tag,step,wall_time,value,event_file
Episode_Reward/action_smoothness_l2,92167,1788217715.0095532,-0.016260357573628426,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92168,1788217715.6328568,-0.006865783594548702,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92169,1788217716.2754512,-0.009826315566897392,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92170,1788217716.9145634,-0.01113046146929264,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92171,1788217717.5733626,-0.012691537849605083,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92172,1788217718.204503,-0.013301774859428406,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92173,1788217718.844644,-0.01162249781191349,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92174,1788217719.5190794,-0.007413421757519245,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92175,1788217720.1527255,-0.00793115608394146,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92176,1788217720.8014832,-0.007970682345330715,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92177,1788217721.4323766,-0.007682246621698141,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/action_smoothness_l2,92178,1788217722.0676265,-0.005930248647928238,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92099,1788217671.305536,-2.4395412765443325e-05,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92100,1788217672.1044607,-0.0009242335218004882,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92101,1788217672.742663,-0.011882966384291649,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92102,1788217673.5862584,-0.017984826117753983,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92103,1788217674.2424047,-0.021135400980710983,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92104,1788217674.872467,-0.005348553415387869,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92105,1788217675.4986372,-0.016701100394129753,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92106,1788217676.111461,-0.022107204422354698,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92107,1788217676.7523456,-0.02216704934835434,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92108,1788217677.3552687,-0.00891053769737482,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92109,1788217677.9586542,-0.02223816141486168,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92110,1788217678.6212854,-0.023850157856941223,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92111,1788217679.2694628,-0.023847421631217003,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92112,1788217679.8819237,-0.00877620279788971,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92113,1788217680.5074258,-0.027283061295747757,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92114,1788217681.1659627,-0.026988163590431213,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92115,1788217681.8171544,-0.02750609628856182,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92116,1788217682.4388077,-0.030182138085365295,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92117,1788217683.0846567,-0.0262124203145504,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92118,1788217683.729932,-0.02499389462172985,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92119,1788217684.3699079,-0.023191217333078384,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92120,1788217684.9849818,-0.029953811317682266,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92121,1788217685.6275911,-0.025006741285324097,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92122,1788217686.2991056,-0.027142904698848724,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92123,1788217686.9311824,-0.03537801653146744,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92124,1788217687.552496,-0.024136891588568687,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92125,1788217688.1858127,-0.01688026823103428,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92126,1788217688.8458774,-0.028175506740808487,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
Episode_Reward/ascent_future_foothold_l1,92127,1788217689.4795864,-0.027195196598768234,events.out.tfevents.1788217669.zzx23457-System-Product-Name.2750572.0
